DATE,INDPRO
01-01-1980,52.0677
01-02-1980,52.0899
01-03-1980,51.8687
01-04-1980,50.8454
01-05-1980,49.5947
01-06-1980,48.9621
01-07-1980,48.609
01-08-1980,48.7646
01-09-1980,49.5764
01-10-1980,50.2058
01-11-1980,51.0418
01-12-1980,51.3906
01-01-1981,51.0656
01-02-1981,50.8554
01-03-1981,51.1107
01-04-1981,50.8864
01-05-1981,51.1788
01-06-1981,51.4496
01-07-1981,51.7764
01-08-1981,51.7129
01-09-1981,51.4605
01-10-1981,51.0625
01-11-1981,50.473
01-12-1981,49.9364
01-01-1982,48.9114
01-02-1982,49.9102
01-03-1982,49.5691
01-04-1982,49.1146
01-05-1982,48.7805
01-06-1982,48.6606
01-07-1982,48.4863
01-08-1982,48.0569
01-09-1982,47.9303
01-10-1982,47.4738
01-11-1982,47.32
01-12-1982,46.9813
01-01-1983,47.8523
01-02-1983,47.5667
01-03-1983,47.9599
01-04-1983,48.5564
01-05-1983,48.8647
01-06-1983,49.1558
01-07-1983,49.8873
01-08-1983,50.4843
01-09-1983,51.216
01-10-1983,51.6139
01-11-1983,51.842
01-12-1983,52.0948
01-01-1984,53.1348
01-02-1984,53.3763
01-03-1984,53.6314
01-04-1984,53.9491
01-05-1984,54.2396
01-06-1984,54.4288
01-07-1984,54.5865
01-08-1984,54.653
01-09-1984,54.4949
01-10-1984,54.4772
01-11-1984,54.6594
01-12-1984,54.6892
01-01-1985,54.6505
01-02-1985,54.8169
01-03-1985,54.8978
01-04-1985,54.7833
01-05-1985,54.8704
01-06-1985,54.8401
01-07-1985,54.5582
01-08-1985,54.7381
01-09-1985,54.9416
01-10-1985,54.7538
01-11-1985,54.939
01-12-1985,55.4945
01-01-1986,55.7802
01-02-1986,55.3994
01-03-1986,55.0001
01-04-1986,55.0641
01-05-1986,55.1705
01-06-1986,54.9588
01-07-1986,55.2944
01-08-1986,55.2029
01-09-1986,55.3511
01-10-1986,55.5857
01-11-1986,55.803
01-12-1986,56.3441
01-01-1987,56.1259
01-02-1987,56.8779
01-03-1987,56.9516
01-04-1987,57.3177
01-05-1987,57.6774
01-06-1987,57.9875
01-07-1987,58.379
01-08-1987,58.8171
01-09-1987,59.0391
01-10-1987,59.834
01-11-1987,60.1367
01-12-1987,60.4739
01-01-1988,60.4594
01-02-1988,60.7643
01-03-1988,60.8948
01-04-1988,61.2475
01-05-1988,61.1353
01-06-1988,61.2995
01-07-1988,61.311
01-08-1988,61.6234
01-09-1988,61.4255
01-10-1988,61.694
01-11-1988,61.8494
01-12-1988,62.1171
01-01-1989,62.3103
01-02-1989,62.0353
01-03-1989,62.195
01-04-1989,62.1753
01-05-1989,61.8321
01-06-1989,61.8246
01-07-1989,61.2285
01-08-1989,61.8334
01-09-1989,61.6221
01-10-1989,61.5537
01-11-1989,61.7575
01-12-1989,62.1111
01-01-1990,61.7781
01-02-1990,62.3426
01-03-1990,62.6446
01-04-1990,62.5104
01-05-1990,62.6898
01-06-1990,62.8923
01-07-1990,62.7933
01-08-1990,63.0241
01-09-1990,63.0328
01-10-1990,62.6466
01-11-1990,61.8681
01-12-1990,61.4345
01-01-1991,61.2241
01-02-1991,60.779
01-03-1991,60.4377
01-04-1991,60.5982
01-05-1991,61.2041
01-06-1991,61.6923
01-07-1991,61.8569
01-08-1991,61.8681
01-09-1991,62.3855
01-10-1991,62.3229
01-11-1991,62.2427
01-12-1991,61.9705
01-01-1992,61.6471
01-02-1992,62.0794
01-03-1992,62.5955
01-04-1992,63.0726
01-05-1992,63.2761
01-06-1992,63.3102
01-07-1992,63.8769
01-08-1992,63.5221
01-09-1992,63.7217
01-10-1992,64.1556
01-11-1992,64.4144
01-12-1992,64.5161
01-01-1993,64.7738
01-02-1993,65.0805
01-03-1993,65.0176
01-04-1993,65.2041
01-05-1993,64.9433
01-06-1993,65.0984
01-07-1993,65.2554
01-08-1993,65.1946
01-09-1993,65.5282
01-10-1993,66.0152
01-11-1993,66.3292
01-12-1993,66.7038
01-01-1994,66.9164
01-02-1994,66.9642
01-03-1994,67.6335
01-04-1994,68.0334
01-05-1994,68.3531
01-06-1994,68.8002
01-07-1994,68.8863
01-08-1994,69.3412
01-09-1994,69.5574
01-10-1994,70.119
01-11-1994,70.5942
01-12-1994,71.2814
01-01-1995,71.4303
01-02-1995,71.3343
01-03-1995,71.4451
01-04-1995,71.3289
01-05-1995,71.66
01-06-1995,71.8967
01-07-1995,71.5924
01-08-1995,72.5339
01-09-1995,72.8247
01-10-1995,72.713
01-11-1995,72.8884
01-12-1995,73.1429
01-01-1996,72.7471
01-02-1996,73.7871
01-03-1996,73.6749
01-04-1996,74.4153
01-05-1996,74.9718
01-06-1996,75.5317
01-07-1996,75.5323
01-08-1996,75.9129
01-09-1996,76.4032
01-10-1996,76.3931
01-11-1996,77.0672
01-12-1996,77.5543
01-01-1997,77.6945
01-02-1997,78.612
01-03-1997,79.1021
01-04-1997,79.1683
01-05-1997,79.6084
01-06-1997,79.9802
01-07-1997,80.6492
01-08-1997,81.4548
01-09-1997,82.212
01-10-1997,82.9309
01-11-1997,83.5919
01-12-1997,83.9696
01-01-1998,84.3467
01-02-1998,84.4865
01-03-1998,84.5212
01-04-1998,84.8275
01-05-1998,85.3596
01-06-1998,84.8466
01-07-1998,84.5061
01-08-1998,86.2464
01-09-1998,86.1707
01-10-1998,86.7671
01-11-1998,86.6929
01-12-1998,87.0633
01-01-1999,87.4252
01-02-1999,87.926
01-03-1999,88.1101
01-04-1999,88.3106
01-05-1999,88.8487
01-06-1999,88.7978
01-07-1999,89.3119
01-08-1999,89.7109
01-09-1999,89.3331
01-10-1999,90.4924
01-11-1999,90.965
01-12-1999,91.6804
01-01-2000,91.6261
01-02-2000,91.9626
01-03-2000,92.3118
01-04-2000,92.8872
01-05-2000,93.162
01-06-2000,93.2168
01-07-2000,93.04
01-08-2000,92.79
01-09-2000,93.1547
01-10-2000,92.8361
01-11-2000,92.8395
01-12-2000,92.5334
01-01-2001,92.0304
01-02-2001,91.4079
01-03-2001,91.1751
01-04-2001,90.8767
01-05-2001,90.375
01-06-2001,89.8626
01-07-2001,89.3288
01-08-2001,89.2201
01-09-2001,88.7478
01-10-2001,88.4755
01-11-2001,87.9631
01-12-2001,87.9329
01-01-2002,88.5452
01-02-2002,88.5362
01-03-2002,89.2097
01-04-2002,89.6389
01-05-2002,90.0271
01-06-2002,90.7645
01-07-2002,90.7437
01-08-2002,90.6268
01-09-2002,90.7241
01-10-2002,90.4879
01-11-2002,90.9823
01-12-2002,90.4919
01-01-2003,91.2395
01-02-2003,91.3384
01-03-2003,91.069
01-04-2003,90.4913
01-05-2003,90.4697
01-06-2003,90.5899
01-07-2003,91.0614
01-08-2003,90.8452
01-09-2003,91.4453
01-10-2003,91.5595
01-11-2003,92.1763
01-12-2003,92.2532
01-01-2004,92.4067
01-02-2004,92.9687
01-03-2004,92.6
01-04-2004,92.9761
01-05-2004,93.6446
01-06-2004,92.9303
01-07-2004,93.6109
01-08-2004,93.6958
01-09-2004,93.7958
01-10-2004,94.6226
01-11-2004,94.8491
01-12-2004,95.5841
01-01-2005,95.9285
01-02-2005,96.6287
01-03-2005,96.4907
01-04-2005,96.6809
01-05-2005,96.7925
01-06-2005,97.19
01-07-2005,96.8981
01-08-2005,97.2223
01-09-2005,95.3463
01-10-2005,96.4981
01-11-2005,97.5646
01-12-2005,98.0222
01-01-2006,98.2044
01-02-2006,98.2404
01-03-2006,98.4742
01-04-2006,98.7765
01-05-2006,98.7884
01-06-2006,99.1069
01-07-2006,99.0357
01-08-2006,99.4583
01-09-2006,99.2544
01-10-2006,99.1514
01-11-2006,99.0974
01-12-2006,100.1117
01-01-2007,99.7226
01-02-2007,100.6919
01-03-2007,100.8857
01-04-2007,101.5777
01-05-2007,101.6481
01-06-2007,101.6741
01-07-2007,101.5627
01-08-2007,101.7751
01-09-2007,102.0279
01-10-2007,101.7289
01-11-2007,102.3185
01-12-2007,102.3074
01-01-2008,102.1686
01-02-2008,101.7673
01-03-2008,101.3986
01-04-2008,100.7238
01-05-2008,100.1399
01-06-2008,99.9141
01-07-2008,99.4943
01-08-2008,97.9367
01-09-2008,93.6585
01-10-2008,94.5845
01-11-2008,93.3455
01-12-2008,90.7183
01-01-2009,88.4683
01-02-2009,87.936
01-03-2009,86.5503
01-04-2009,85.8598
01-05-2009,84.9991
01-06-2009,84.7277
01-07-2009,85.7091
01-08-2009,86.6333
01-09-2009,87.3615
01-10-2009,87.5488
01-11-2009,87.9144
01-12-2009,88.2318
01-01-2010,89.1936
01-02-2010,89.5089
01-03-2010,90.1449
01-04-2010,90.474
01-05-2010,91.7131
01-06-2010,91.9287
01-07-2010,92.2737
01-08-2010,92.615
01-09-2010,92.8668
01-10-2010,92.6138
01-11-2010,92.6772
01-12-2010,93.5741
01-01-2011,93.3793
01-02-2011,93.0051
01-03-2011,93.978
01-04-2011,93.6525
01-05-2011,93.7878
01-06-2011,94.0378
01-07-2011,94.5146
01-08-2011,95.1263
01-09-2011,95.0732
01-10-2011,95.7291
01-11-2011,95.7455
01-12-2011,96.2147
01-01-2012,96.8051
01-02-2012,97.1033
01-03-2012,96.5973
01-04-2012,97.3006
01-05-2012,97.5046
01-06-2012,97.4903
01-07-2012,97.7234
01-08-2012,97.313
01-09-2012,97.2405
01-10-2012,97.561
01-11-2012,97.9589
01-12-2012,98.2061
01-01-2013,98.199
01-02-2013,98.6835
01-03-2013,99.0994
01-04-2013,98.9898
01-05-2013,99.0782
01-06-2013,99.2141
01-07-2013,98.9132
01-08-2013,99.4891
01-09-2013,100.0172
01-10-2013,99.9038
01-11-2013,100.1479
01-12-2013,100.3576
01-01-2014,99.9828
01-02-2014,100.7485
01-03-2014,101.7391
01-04-2014,101.8023
01-05-2014,102.2116
01-06-2014,102.5637
01-07-2014,102.8425
01-08-2014,102.6499
01-09-2014,102.9647
01-10-2014,102.9704
01-11-2014,103.6017
01-12-2014,103.592
01-01-2015,102.798
01-02-2015,102.1554
01-03-2015,101.8077
01-04-2015,101.2285
01-05-2015,100.7536
01-06-2015,100.4529
01-07-2015,101.11
01-08-2015,100.8802
01-09-2015,100.608
01-10-2015,100.151
01-11-2015,99.3817
01-12-2015,98.8572
01-01-2016,99.4086
01-02-2016,98.8946
01-03-2016,98.1385
01-04-2016,98.4364
01-05-2016,98.2096
01-06-2016,98.6766
01-07-2016,98.8371
01-08-2016,98.7302
01-09-2016,98.6287
01-10-2016,98.7126
01-11-2016,98.3004
01-12-2016,98.9063
01-01-2017,98.7349
01-02-2017,98.4178
01-03-2017,99.0726
01-04-2017,100.0545
01-05-2017,100.139
01-06-2017,100.3148
01-07-2017,100.1418
01-08-2017,99.6878
01-09-2017,99.7829
01-10-2017,101.0401
01-11-2017,101.226
01-12-2017,101.3878
01-01-2018,101.345
01-02-2018,101.7068
01-03-2018,102.2785
01-04-2018,103.434
01-05-2018,102.4735
01-06-2018,103.2508
01-07-2018,103.4588
01-08-2018,104.1802
01-09-2018,104.1665
01-10-2018,104.0476
01-11-2018,103.9603
01-12-2018,103.869
01-01-2019,103.2684
01-02-2019,102.8157
01-03-2019,102.9
01-04-2019,102.3826
01-05-2019,102.5756
01-06-2019,102.5928
01-07-2019,102.2012
01-08-2019,102.9086
01-09-2019,102.579
01-10-2019,101.7775
01-11-2019,102.0979
01-12-2019,101.7632
01-01-2020,101.303
01-02-2020,101.7038
01-03-2020,97.8746
01-04-2020,84.959
01-05-2020,86.3345
01-06-2020,91.7523
01-07-2020,95.2439
01-08-2020,96.1173
01-09-2020,96.0711
01-10-2020,96.825
01-11-2020,97.1183
01-12-2020,98.138
01-01-2021,99.2645
01-02-2021,96.2231
01-03-2021,98.8621
01-04-2021,99.0246
01-05-2021,99.7785
01-06-2021,100.1923
01-07-2021,100.8724
01-08-2021,100.837
01-09-2021,99.8498
01-10-2021,101.3602
01-11-2021,101.961
01-12-2021,101.7587
01-01-2022,102.146
01-02-2022,102.8987
01-03-2022,103.5717
01-04-2022,104.2709
01-05-2022,104.1646
01-06-2022,104.0772
01-07-2022,104.7577
01-08-2022,104.6544
